name,buy_price,buy_reqnum,sell_price,sell_num
StatTrak™ AK-47 | Vulcan,$440.10,585,,
★ Butterfly Knife | Case Hardened,$432.98,442,,
AWP | Asiimov,$92.43,11379,,
